user_id,course_id,progress,rating,enrollment_date
38,119,75,5.0,2025-09-28
15,135,87,4.0,2024-12-27
55,142,98,5.0,2024-12-06
38,42,1,,2025-02-26
24,132,83,5.0,2025-09-16
98,89,19,,2025-06-17
2,12,33,1.0,2025-05-07
17,65,2,,2025-09-17
62,61,2,,2025-03-19
81,86,32,5.0,2025-09-03
92,20,61,2.0,2025-07-19
44,114,75,5.0,2025-02-15
71,35,30,4.0,2024-12-20
65,37,52,1.0,2025-10-01
37,139,75,4.0,2025-04-15
99,42,99,4.0,2025-10-10
94,35,53,4.0,2025-08-24
46,121,86,1.0,2025-08-02
100,107,17,,2025-10-12
56,79,86,4.0,2025-10-08
14,113,93,4.0,2025-10-08
37,121,71,5.0,2025-09-30
72,84,44,3.0,2025-04-01
62,6,74,1.0,2025-08-01
86,95,63,1.0,2024-12-20
3,90,60,3.0,2025-10-29
28,114,54,3.0,2025-06-24
66,59,87,4.0,2025-04-05
12,74,20,,2024-12-08
90,101,95,5.0,2025-03-20
1,10,100,4.0,2025-06-09
27,45,47,1.0,2025-08-20
76,2,39,3.0,2025-02-17
67,53,44,2.0,2025-04-21
100,11,47,3.0,2025-01-11
89,32,48,5.0,2025-11-02
84,97,8,,2024-12-03
24,55,0,,2025-08-03
4,136,36,3.0,2025-06-09
16,75,2,,2025-10-09
19,71,81,3.0,2025-01-11
73,120,71,4.0,2024-11-03
41,142,85,5.0,2025-04-15
80,65,33,4.0,2025-04-27
14,20,72,4.0,2025-03-15
74,59,73,5.0,2025-02-09
95,121,93,5.0,2025-08-11
27,57,91,3.0,2025-10-11
64,119,50,4.0,2025-03-12
48,14,97,1.0,2024-12-08
64,114,68,3.0,2025-08-07
8,9,95,2.0,2025-08-24
80,135,27,2.0,2025-07-11
25,124,92,3.0,2025-07-14
65,33,34,3.0,2024-12-18
62,80,21,3.0,2025-06-04
60,12,73,2.0,2024-11-30
17,10,76,3.0,2025-06-21
1,65,71,3.0,2025-02-25
45,73,28,2.0,2025-03-11
56,62,14,,2025-05-05
95,53,94,1.0,2025-03-12
78,75,26,1.0,2024-11-14
83,147,46,1.0,2024-11-05
30,71,66,2.0,2025-03-01
23,74,71,4.0,2024-12-14
25,116,63,3.0,2025-07-25
87,110,65,3.0,2025-07-22
45,105,5,,2025-02-14
53,141,63,2.0,2025-09-30
5,85,88,3.0,2024-11-17
32,132,52,1.0,2025-10-26
89,89,66,3.0,2025-10-03
10,66,47,4.0,2025-07-15
93,103,32,3.0,2025-04-25
11,120,23,1.0,2025-01-09
64,6,64,5.0,2025-10-17
70,39,42,1.0,2025-06-11
79,29,91,1.0,2025-06-27
3,17,97,2.0,2024-11-29
59,86,59,1.0,2025-10-28
62,54,33,2.0,2025-02-15
52,76,55,5.0,2025-06-01
63,10,69,3.0,2024-11-23
38,23,29,3.0,2025-01-05
93,145,95,3.0,2025-10-09
37,107,51,2.0,2025-10-17
29,100,87,5.0,2025-10-08
63,126,37,4.0,2025-04-05
49,137,28,5.0,2025-01-15
8,100,90,3.0,2025-04-02
26,124,20,,2025-02-28
79,91,81,3.0,2025-01-13
30,16,11,,2025-08-21
68,114,84,3.0,2025-10-31
58,102,24,2.0,2024-12-25
51,130,96,5.0,2025-08-02
93,75,98,4.0,2025-02-18
50,52,27,2.0,2024-11-21
9,57,55,5.0,2025-07-21
30,67,33,2.0,2024-12-04
97,99,24,3.0,2025-05-05
58,147,47,2.0,2025-09-25
99,56,78,3.0,2024-12-20
34,129,58,2.0,2025-10-08
27,104,13,,2025-07-17
12,109,76,5.0,2025-08-18
77,24,86,4.0,2024-12-30
39,105,52,2.0,2024-11-10
65,21,66,4.0,2025-06-14
82,68,65,4.0,2024-12-28
73,64,27,4.0,2025-08-03
53,145,78,4.0,2025-08-20
99,87,48,5.0,2025-03-07
68,100,100,5.0,2025-07-30
80,146,56,5.0,2024-12-02
43,55,17,,2025-04-06
15,83,41,1.0,2025-04-08
70,87,18,,2025-01-17
53,93,25,4.0,2025-05-18
23,41,32,2.0,2025-02-06
86,77,44,4.0,2025-02-19
19,91,48,4.0,2024-12-03
43,96,55,5.0,2025-01-21
76,41,11,,2025-09-23
54,80,9,,2025-05-03
33,5,73,4.0,2025-02-09
32,124,85,1.0,2025-01-14
73,2,60,1.0,2025-08-26
68,14,26,1.0,2025-05-05
97,31,96,2.0,2025-02-01
43,66,48,5.0,2025-07-29
11,118,39,3.0,2025-03-13
13,31,77,2.0,2025-03-20
94,107,69,5.0,2025-11-01
56,3,39,3.0,2025-03-29
37,52,26,2.0,2025-10-20
57,83,92,4.0,2025-10-02
17,138,57,1.0,2025-05-24
52,25,89,4.0,2025-10-16
63,83,97,4.0,2025-05-08
67,147,76,3.0,2024-11-07
44,46,72,1.0,2024-12-06
9,103,17,,2025-08-17
87,18,9,,2025-05-20
3,59,81,4.0,2025-10-05
31,46,80,4.0,2024-11-08
83,42,2,,2025-10-16
92,19,66,3.0,2024-11-27
16,39,5,,2025-02-15
75,138,23,4.0,2024-11-10
71,92,39,1.0,2025-09-19
43,103,79,1.0,2025-03-11
47,65,89,5.0,2025-05-17
45,99,6,,2025-07-23
17,29,63,2.0,2025-02-12
64,81,77,3.0,2025-08-29
33,108,44,4.0,2024-11-15
